tag,release_datetime
v1.0.416,2024-09-10T09:06:07
v1.0.417,2024-09-17T09:08:33
v1.0.418,2024-09-24T09:21:15
v1.0.419,2024-10-01T09:03:44
v1.0.421,2024-10-08T09:04:28
v1.0.422,2024-10-15T09:05:18
v1.0.423,2024-10-15T09:14:25
v1.0.424,2024-10-22T09:16:55
v1.0.425,2024-10-29T10:21:40
v1.0.426,2024-11-05T10:57:52
v1.0.427,2024-11-12T10:34:57
v1.0.428,2024-11-19T10:25:27
v1.0.429,2024-11-25T10:03:40
v1.0.430,2024-12-03T10:31:58
v1.0.431,2024-12-10T10:13:37
v1.0.432,2025-01-14T10:24:05
v1.0.433,2025-01-21T10:20:29
v1.0.434,2025-01-28T10:10:31
v1.0.435,2025-02-04T14:07:13
v1.0.436,2025-02-11T10:22:59
v1.0.437,2025-02-18T10:26:34
v1.1.0,2025-03-04T10:26:39
v1.1.1,2025-03-11T10:38:23
v1.1.2,2025-03-18T10:05:49
v1.1.3,2025-03-25T10:09:25
v1.1.4,2025-04-01T09:06:09
v1.1.5,2025-04-08T09:07:43
v1.1.6,2025-04-15T09:18:35
v1.1.7,2025-04-29T09:13:12
v1.1.8,2025-05-13T09:13:34
v1.1.9,2025-05-20T09:04:22
v1.2.0,2025-06-03T09:05:17
v1.2.1,2025-06-10T09:23:11
v1.3.0,2025-06-23T09:06:18
v1.3.1,2025-07-08T09:10:29
v1.3.2,2025-07-16T09:07:19
v1.3.3,2025-07-22T09:16:49
v1.3.5,2025-07-24T14:12:15
v1.3.6,2025-08-05T09:04:36
v1.3.7,2025-08-14T09:09:43
v1.3.8,2025-08-19T09:21:10
v1.3.9,2025-09-02T09:03:14
v1.3.11,2025-09-03T15:58:16
v1.4.1,2025-09-16T09:06:19
v1.4.2,2025-09-23T09:34:18
v1.4.4,2025-10-07T09:08:17
